stage,elapsed_us
scheduler.enqueue_microbatch,11.378
scheduler.build_microbatch,23.663
scheduler.decode_pop,76240.6
scheduler.adapter_pop,76326.1
scheduler.enqueue_microbatch,6.643
scheduler.build_microbatch,14.511
scheduler.decode_pop,82618.6
scheduler.adapter_pop,81743.5
scheduler.enqueue_microbatch,11.484
scheduler.build_microbatch,19.772
scheduler.decode_pop,80891.3
scheduler.adapter_pop,79038.3
scheduler.enqueue_microbatch,6.564
scheduler.build_microbatch,17.381
scheduler.decode_pop,80509.7
scheduler.adapter_pop,80729.9
scheduler.enqueue_microbatch,14.449
scheduler.build_microbatch,23.209
scheduler.decode_pop,84097.2
scheduler.adapter_pop,83782.4
scheduler.enqueue_microbatch,12.286
scheduler.build_microbatch,21.809
scheduler.decode_pop,74601.9
scheduler.adapter_pop,75455.2
scheduler.enqueue_microbatch,10.352
scheduler.build_microbatch,21.688
scheduler.decode_pop,82797.7
scheduler.adapter_pop,84628.2
scheduler.enqueue_microbatch,9.444
scheduler.build_microbatch,20.197
scheduler.decode_pop,78503.2
scheduler.adapter_pop,76920.5
scheduler.enqueue_microbatch,15.768
scheduler.build_microbatch,23.367
scheduler.decode_pop,78770.6
scheduler.adapter_pop,78772.8
scheduler.enqueue_microbatch,10.55
scheduler.build_microbatch,21.528
scheduler.decode_pop,80712
scheduler.adapter_pop,80785.1
scheduler.enqueue_microbatch,9.046
scheduler.build_microbatch,21.391
scheduler.decode_pop,75975.4
scheduler.adapter_pop,75698.8
scheduler.enqueue_microbatch,4.943
scheduler.build_microbatch,12.387
scheduler.decode_pop,76378.5
scheduler.adapter_pop,77215.4
scheduler.enqueue_microbatch,8.923
scheduler.build_microbatch,20.552
scheduler.decode_pop,80242.5
scheduler.adapter_pop,80705.5
scheduler.enqueue_microbatch,8.107
scheduler.build_microbatch,19.011
scheduler.decode_pop,81959.2
scheduler.adapter_pop,82226.5
scheduler.enqueue_microbatch,8.643
scheduler.build_microbatch,19.666
scheduler.decode_pop,83205
scheduler.adapter_pop,82265.7
scheduler.enqueue_microbatch,4.742
scheduler.build_microbatch,9.559
scheduler.decode_pop,80386.1
scheduler.adapter_pop,80248.4
scheduler.enqueue_microbatch,6.752
scheduler.build_microbatch,13.473
scheduler.decode_pop,81905.6
scheduler.adapter_pop,81729.5
scheduler.enqueue_microbatch,9.133
scheduler.build_microbatch,20.378
scheduler.decode_pop,77515.4
scheduler.adapter_pop,77274.1
scheduler.enqueue_microbatch,6.668
scheduler.build_microbatch,17
scheduler.decode_pop,78366.2
scheduler.adapter_pop,78873.8
scheduler.enqueue_microbatch,11.674
scheduler.build_microbatch,23.433
scheduler.decode_pop,86846.5
scheduler.adapter_pop,86292.8
scheduler.enqueue_microbatch,6.438
scheduler.build_microbatch,13.878
scheduler.decode_pop,74523.9
scheduler.adapter_pop,74282.2
scheduler.enqueue_microbatch,7.805
scheduler.build_microbatch,18.574
scheduler.decode_pop,83495.8
scheduler.adapter_pop,82821
scheduler.enqueue_microbatch,6.226
scheduler.build_microbatch,14.387
scheduler.decode_pop,77392.9
scheduler.adapter_pop,77474.8
scheduler.enqueue_microbatch,10.009
scheduler.build_microbatch,21.438
scheduler.decode_pop,77283.7
scheduler.adapter_pop,77509.4
scheduler.enqueue_microbatch,6.629
scheduler.build_microbatch,16.976
scheduler.decode_pop,85186.5
scheduler.adapter_pop,85479.4
scheduler.enqueue_microbatch,6.719
scheduler.build_microbatch,27.173
scheduler.decode_pop,76723.1
scheduler.adapter_pop,76356.6
scheduler.enqueue_microbatch,6.258
scheduler.build_microbatch,17.511
scheduler.decode_pop,81992.6
scheduler.adapter_pop,82205.1
scheduler.enqueue_microbatch,12.319
scheduler.build_microbatch,24.094
scheduler.decode_pop,80680.8
scheduler.adapter_pop,81918.5
scheduler.enqueue_microbatch,6.952
scheduler.build_microbatch,18.806
scheduler.decode_pop,76200.4
scheduler.adapter_pop,75943.8
scheduler.enqueue_microbatch,10.049
scheduler.build_microbatch,18.076
scheduler.decode_pop,83758.4
scheduler.adapter_pop,84400.7
scheduler.enqueue_microbatch,4.456
scheduler.build_microbatch,11.512
scheduler.decode_pop,78366.8
scheduler.adapter_pop,79284.6
scheduler.enqueue_microbatch,6.157
scheduler.build_microbatch,17.04
scheduler.decode_pop,83385
scheduler.adapter_pop,82783.7
scheduler.enqueue_microbatch,12.929
scheduler.build_microbatch,25.215
scheduler.decode_pop,79069.8
scheduler.adapter_pop,78373.2
scheduler.enqueue_microbatch,4.855
scheduler.build_microbatch,8.828
scheduler.decode_pop,81313
scheduler.adapter_pop,81323.8
scheduler.enqueue_microbatch,6.371
scheduler.build_microbatch,15.442
scheduler.decode_pop,84054.4
scheduler.adapter_pop,83227.8
scheduler.enqueue_microbatch,7.737
scheduler.build_microbatch,14.123
scheduler.decode_pop,76990.7
scheduler.adapter_pop,76966.6
scheduler.enqueue_microbatch,12.002
scheduler.build_microbatch,20.398
scheduler.decode_pop,84821.4
scheduler.adapter_pop,85446.6
scheduler.enqueue_microbatch,9.747
scheduler.build_microbatch,22.839
scheduler.decode_pop,76333.5
scheduler.adapter_pop,76938.2
scheduler.enqueue_microbatch,9.284
scheduler.build_microbatch,18.956
scheduler.decode_pop,79690.6
scheduler.adapter_pop,78653.9
scheduler.enqueue_microbatch,4.437
scheduler.build_microbatch,10.795
scheduler.decode_pop,79904.7
scheduler.adapter_pop,80470.4
scheduler.enqueue_microbatch,4.635
scheduler.build_microbatch,11.615
scheduler.decode_pop,80234.9
scheduler.adapter_pop,80578.3
scheduler.enqueue_microbatch,6.758
scheduler.build_microbatch,16.276
scheduler.decode_pop,79933.6
scheduler.adapter_pop,78753.5
scheduler.enqueue_microbatch,6.722
scheduler.build_microbatch,17.28
scheduler.decode_pop,80467.4
scheduler.adapter_pop,82142.9
scheduler.enqueue_microbatch,6.366
scheduler.build_microbatch,13.933
scheduler.decode_pop,80392.3
scheduler.adapter_pop,78405.5
scheduler.enqueue_microbatch,4.399
scheduler.build_microbatch,10.135
scheduler.decode_pop,79533
scheduler.adapter_pop,78277.9
scheduler.enqueue_microbatch,8.013
scheduler.build_microbatch,14.647
scheduler.decode_pop,78561.9
scheduler.adapter_pop,79141.1
scheduler.enqueue_microbatch,6.512
scheduler.build_microbatch,14.363
scheduler.decode_pop,82087.4
scheduler.adapter_pop,81124.5
scheduler.enqueue_microbatch,11.881
scheduler.build_microbatch,24.552
scheduler.decode_pop,77964.4
scheduler.adapter_pop,78666.2
scheduler.enqueue_microbatch,9.877
scheduler.build_microbatch,20.824
scheduler.decode_pop,79674.4
scheduler.adapter_pop,80035.6
