bench,seq_len,head_dim,heads,batch,fused_ms,baseline_ms,speedup,tokens_per_s,baseline_tokens_per_s,l2_diff,perplexity_delta,scratch_bytes,baseline_scratch_bytes,scratch_ratio
attn_decode_fp16,2048,64,64,1,15.3406,15.3406,1,8.54414e+06,8.54414e+06,0.00175864,0,32768,32768,1
attn_decode_int8_qk,2048,64,64,4,37.694,61.5792,1.63366,1.39091e+07,8.51405e+06,0.00107669,0,16896,81920,0.20625
attn_decode_fp16,2048,64,64,4,61.5792,61.5792,1,8.51405e+06,8.51405e+06,0.00107669,0,81920,81920,1
attn_decode_int8_qk,2048,64,64,8,75.5686,122.925,1.62666,1.38758e+07,8.53024e+06,0.000703291,0,16896,147456,0.114583
attn_decode_fp16,2048,64,64,8,122.925,122.925,1,8.53024e+06,8.53024e+06,0.000703291,0,147456,147456,1
attn_decode_int8_qk,4096,64,64,1,18.7834,30.6344,1.63093,1.39562e+07,8.55719e+06,0.00167489,0,33280,49152,0.677083
attn_decode_fp16,4096,64,64,1,30.6344,30.6344,1,8.55719e+06,8.55719e+06,0.00167489,0,49152,49152,1
attn_decode_int8_qk,4096,64,64,4,75.3843,123.112,1.63312,1.39097e+07,8.51726e+06,0.000865898,0,33280,98304,0.338542
attn_decode_fp16,4096,64,64,4,123.112,123.112,1,8.51726e+06,8.51726e+06,0.000865898,0,98304,98304,1
attn_decode_int8_qk,4096,64,64,8,151.145,247.639,1.63842,1.38751e+07,8.46858e+06,0.000609884,0,33280,163840,0.203125
attn_decode_fp16,4096,64,64,8,247.639,247.639,1,8.46858e+06,8.46858e+06,0.000609884,0,163840,163840,1
attn_decode_int8_qk,1024,128,64,1,6.78224,15.0557,2.21987,9.66288e+06,4.3529e+06,0.0033417,0,9216,40960,0.225
attn_decode_fp16,1024,128,64,1,15.0557,15.0557,1,4.3529e+06,4.3529e+06,0.0033417,0,40960,40960,1
attn_decode_int8_qk,1024,128,64,4,27.3599,60.4163,2.2082,9.58131e+06,4.33896e+06,0.00159774,0,9216,139264,0.0661765
attn_decode_fp16,1024,128,64,4,60.4163,60.4163,1,4.33896e+06,4.33896e+06,0.00159774,0,139264,139264,1
attn_decode_int8_qk,1024,128,64,8,54.4326,120.715,2.2177,9.63187e+06,4.34318e+06,0.00107925,0,9216,270336,0.0340909
attn_decode_fp16,1024,128,64,8,120.715,120.715,1,4.34318e+06,4.34318e+06,0.00107925,0,270336,270336,1
attn_decode_int8_qk,2048,128,64,1,13.6782,30.2125,2.2088,9.58252e+06,4.33834e+06,0.00282378,0,17408,49152,0.354167
attn_decode_fp16,2048,128,64,1,30.2125,30.2125,1,4.33834e+06,4.33834e+06,0.00282378,0,49152,49152,1
attn_decode_int8_qk,2048,128,64,4,54.6949,121.01,2.21245,9.58569e+06,4.33261e+06,0.00139853,0,17408,147456,0.118056
attn_decode_fp16,2048,128,64,4,121.01,121.01,1,4.33261e+06,4.33261e+06,0.00139853,0,147456,147456,1
attn_decode_int8_qk,2048,128,64,8,109.695,241.903,2.20523,9.55902e+06,4.3347e+06,0.000980312,0,17408,278528,0.0625
attn_decode_fp16,2048,128,64,8,241.903,241.903,1,4.3347e+06,4.3347e+06,0.000980312,0,278528,278528,1
attn_decode_int8_qk,4096,128,64,1,27.5674,60.8328,2.2067,9.50922e+06,4.30926e+06,0.00278142,0,33792,65536,0.515625
attn_decode_fp16,4096,128,64,1,60.8328,60.8328,1,4.30926e+06,4.30926e+06,0.00278142,0,65536,65536,1
attn_decode_int8_qk,4096,128,64,4,110.318,245.323,2.22379,9.50506e+06,4.27426e+06,0.00122371,0,33792,163840,0.20625
attn_decode_fp16,4096,128,64,4,245.323,245.323,1,4.27426e+06,4.27426e+06,0.00122371,0,163840,163840,1
attn_decode_int8_qk,4096,128,64,8,219.888,489.192,2.22474,9.53737e+06,4.28697e+06,0.000920449,0,33792,294912,0.114583
attn_decode_fp16,4096,128,64,8,489.192,489.192,1,4.28697e+06,4.28697e+06,0.000920449,0,294912,294912,1
